text,label_text,Predicted_label
How do I activate my new debit card in the app?,activate_my_card,card_linking
Please help me activate the physical card I just received.,activate_my_card,activate_my_card
Where’s the option to activate my card on the dashboard?,activate_my_card,activate_my_card
My replacement card arrived—how do I activate it today?,activate_my_card,activate_my_card
Can I activate my card without calling customer support?,activate_my_card,activate_my_card
I need to activate my credit card and set the PIN.,activate_my_card,get_physical_card
The app shows “pending.” How do I complete card activation?,activate_my_card,activate_my_card
Is there a deadline to activate this new card?,activate_my_card,activate_my_card
Activate this card now so I can use contactless payments.,activate_my_card,contactless_not_working
What steps are required to activate a virtual card?,activate_my_card,getting_virtual_card
"I received a new debit card this morning and need to activate it before traveling; please walk me through the exact steps in the mobile app, including any identity verification, PIN setup, and confirmation screens, so I can start using contactless and ATM withdrawals immediately.",activate_my_card,contactless_not_working
"I’m preparing to link this card to Apple Pay and Google Pay right after activation; show me the steps to activate inside the dashboard, what verification codes might appear, and how to confirm tokenization succeeded so tap-to-pay will work for transit and stores later today.",activate_my_card,apple_pay_or_google_pay
"I’m attempting to activate a premium metal card linked to my account; tell me if activation requires NFC tap verification, a one-time password, or a selfie check, and confirm that international transactions and ATM cash withdrawals will function as soon as the status flips to active.",activate_my_card,cash_withdrawal_not_recognised
"Please guide me through activating my student debit card from the dashboard: where to find the control, how to create or update the PIN, and how to confirm that the card is fully enabled for online purchases, in-store usage, and withdrawals once activation is finalized.",activate_my_card,activate_my_card
"Kindly assist with activating my company expense card; specify if admin approval is required, whether I must accept updated terms during activation, and how to confirm that spending controls, merchant category restrictions, and limits are enforced immediately after the card becomes active.",activate_my_card,activate_my_card
"After a hectic week, I just want this to be painless: help me activate the card in a few straightforward steps, detail any security checks without jargon, and confirm—in plain language—that I can immediately use it for in-store payments, online orders, and cash withdrawals.",activate_my_card,activate_my_card
"I’m traveling in a few hours and feeling the pressure, so please help me activate this card immediately through the mobile dashboard, including any verification screens; I need reassurance that tap-to-pay, chip-and-PIN, and online purchases will work smoothly right after the process says complete.",activate_my_card,activate_my_card
"I’m between flights with spotty Wi-Fi, already juggling boarding times and currency exchanges; activate the card so I can handle hotel check-in and transit fares without drama, and send a quick confirmation that contactless and chip transactions will work the first time I present it.",activate_my_card,contactless_not_working
pls actv my card rn—where’s the toggle? only see “freeze” screen.,activate_my_card,card_linking
"OTP passed, app looped back, card still not active—hidden “Finish activation” button somewhere?",activate_my_card,activate_my_card
I just signed up and I’m excited—please activate my account now so I can start exploring features without delays today.,activate_my_card,edit_personal_details
Do I need to verify the last four digits to activate the card?,activate_my_card,activate_my_card
Abroad; ATM decline “inactive”—please enable card.,activate_my_card,atm_support
Can you confirm activation by SMS once the card is live?,activate_my_card,activate_my_card
Set the card status to active and confirm it’s ready for POS terminals.,activate_my_card,activate_my_card
What age do minors need to be to hold their own bank card with you?,age_limit,age_limit
Is there a minimum age to open a solo account without a parent or guardian?,age_limit,age_limit
